В какой день недели вам удобно?~~~~Вечеринку было бы удобно провести в пятницу~~~~Вам удобно в пятницу?~~~~Удобно в любое время|「いつ」「なんようび」「なんじ」~~・なんようびが いいですか。 ~~~~パーティーは どようびが いいです。 ~~~~・きんようびは どうですか。 ~~~~・いつでも いいです。
いっこだて|Обозначение частного дома
В комнате нет телевизора.~~В доме есть телевизор?~~Что Кто есть в комнате?|へやに テレビは ありません。 ~~・いえに テレビが ありますか。 ~~へやに なにが ありますか。へやに だれが いますか。
わたしの いえは せまいです~~~~После места, обозначающего нахождение объекта, ставят частицу...|Моя комната тесная(маленькая).~~~~частицу に
Вежливое называние|Наиболее широко используется суффикс 「～さん」, он~~применим как к мужчинам, так и к женщинам, независимо от возраста. В случае близких друзей 「～さん」 добавляется к имени~~человека, а в случае сотрудников и не очень хорошо знакомых людей, 「～さん」 добавляют к фамилии того, к кому обращаются.~~Кроме того, в случае маленьких детей, особенно девочек, и тех, кого любят и лелеют, добавляют 「～ちゃん」, к именам мальчиков~~– 「～くん」, в официальных ситуациях – 「～さま」, при обращении к преподавателю, врачу и т.п. – 「～せんせい」~~В японском языке, если знаешь имя собеседника, не принято называть его 「あなた」 (ты), вместо этого человека всегда называют~~по имени.
глагол ＋て くださ い~~~~おねがいします|くださ い~~указание выполнить определенное действие~~おねがいします~~будьте добры
どうもありがとうございました。|Спасибо большое.
おたばこは おすいになりますか。|Вы курите?
こちらで おめしあがりですか。|Вы будете кушать здесь?
おのみものは いかがですか。|Что вы будете пить?
ごちゅうもんは おきまりですか。|Вы готовы сделать заказ?
いらっしゃいませ。|Добро пожаловать.
おすしやさん ~~カレーやさん|чтоб выразить дополнительную вежливость, к названию заведения добавляют иногда «о» и «сан».
ラーメン→ ラーメンや ~~そば → そばや ~~べんとう → べんとうや|Если к названию блюда добавить «я», то получаем название заведения, в котором это блюдо подают, что очень удобно.
フライドポテトひとつとコーヒーふたつください。|Одну картошку фри и два кофе, пожалуйста.
そうしましょう。|согласие на предложение, означает «Давай сделаем так, как ты сказал»~~・あのみせで たべましょう。 ~~・じゃあ、そうしましょう
Стандартным порядком слов в японском предложении будет следующий|когда,~~где, что, что делать: 「きょう どこで ひるごはんを たべますか。」.
いただきます、ごちそうさま|В Японии перед едой говорят 「いただきます」, после – 「ごちそうさま」. 「ごちそうさま」 выражает благодарность людям,~~которые потратили силы для приготовления еды, её часто произносят в столовых и ресторанах по отношению к поварам и~~работникам заведения. Когда вас приглашают в ресторан, эту фразу произносят, как благодарность по отношению к тому, кто~~оплатил счет（「ごちそうさまでした」）.
「めしあがります|Когда официант вежливо обращается к посетителю ресторана, то вместо слов 「のみます、たべます」~~употребляется 「めしあがります」
パン|им называют и обычный хлеб, и круасаны, и багеты, и сэндвичи и др
コーヒー は あまり のみません。|Редко пью кофе.
・たべものは なにが すきですか。|Что из еды вы любите?
むしょく|безработный~~いま、しごとを さがしています
わたしは はたち です。|Мне 20 лет.
・ちちと ははと わたしです|Папа, мама и я.~~「と」 употребляется исключительно для соединения существительных, и не~~употребляется для соединения предложений или других частей речи(например, прилагательных и тд)
わたくし|「わたし」 - это наиболее нейтральный и употребимый вариант, использование которого~~допустимо для любого говорящего в любой ситуации. В более формальных ситуациях, когда хотят выразить почтение собеседнику,~~используют 「わたくし」. 「ぼく」 - это слово, используемое мужчинами. Женщинами иногда используется 「あたし」.
わたしは がくせい ではないです。~~[ Watashi wa gakusee dewanai desu.]|「じゃ」 - это сокращенная форма, возникшая при переходе в разговорный стиль, изначальная форма была следующей:~~「ではないです」.
この あいだ~~[この 間]|недавно, несколько дней назад
どういたしまして|Пожалуйста
またあとで~~また後で|Еще увидимся
わたし~~あたし~~ぼく~~おれ|「わたし」 - нейтральная форма, ~~「あたし」 - женский разговорный вариант、「ぼく」 - мужской разговорный вариант,~~используемый в любом возрасте, ~~「おれ」 - мужской разговорный вариант (более грубый).
にほんと スペイン~~にほんごか えいご|「と」 означает «и», ~~「か」 - «или».
